origin_full,destination_full,miles,rate,rpm,deadhead_origin,deadhead_destination,weight,truck_type,pickup_date,delivery_date,broker_name,broker_contact
"San Diego, CA","Rockford, IL",446,1547,3.47,72,42,40546,Step Deck,2026-06-12,2026-06-15,Echo Global Logistics,800-354-7993
"Las Vegas, NV","Raleigh, NC",2422,8380,3.46,104,31,13860,Dry Van,2026-06-01,2026-06-05,C.H. Robinson,800-323-7587
"Detroit, MI","Cincinnati, OH",649,2180,3.36,68,126,32220,Reefer,2026-06-04,2026-06-06,TQL,800-580-3101
"Reno, NV","Buffalo, NY",1479,4865,3.29,192,168,23482,Flatbed,2026-05-20,2026-05-23,Schneider,800-558-6767
"Spokane, WA","Plano, TX",314,951,3.03,119,80,17117,Reefer,2026-06-08,2026-06-11,C.H. Robinson,800-323-7587
"Columbus, OH","Rockford, IL",2065,5740,2.78,178,153,18640,Dry Van,2026-06-16,2026-06-19,RXO,800-866-0190
"Jacksonville, FL","Tacoma, WA",2557,8105,3.17,84,58,11997,Reefer,2026-06-12,2026-06-17,Echo Global Logistics,800-354-7993
"Tulsa, OK","Memphis, TN",627,1906,3.04,35,14,33417,Flatbed,2026-06-04,2026-06-08,Echo Global Logistics,800-354-7993
"Birmingham, AL","Reno, NV",1528,4110,2.69,134,70,45146,Step Deck,2026-06-09,2026-06-12,Coyote Logistics,877-626-9683
"Orlando, FL","Fort Lauderdale, FL",244,797,3.27,127,136,45524,Flatbed,2026-05-29,2026-06-03,Coyote Logistics,877-626-9683
"Rochester, NY","Fort Wayne, IN",975,2700,2.77,135,153,8702,Reefer,2026-06-06,2026-06-11,JB Hunt,800-452-4868
"Cleveland, OH","San Diego, CA",815,2339,2.87,10,31,23204,Step Deck,2026-06-16,2026-06-18,RXO,800-866-0190
"Little Rock, AR","Columbus, OH",962,1904,1.98,12,60,26181,Step Deck,2026-05-25,2026-05-27,Coyote Logistics,877-626-9683
"Sacramento, CA","Fort Worth, TX",1897,5994,3.16,125,137,27366,Flatbed,2026-05-31,2026-06-05,TQL,800-580-3101
"San Antonio, TX","Irving, TX",2152,7919,3.68,89,158,35476,Flatbed,2026-06-04,2026-06-09,Uber Freight,844-822-8237
"Memphis, TN","Savannah, GA",2459,9172,3.73,93,69,35037,Reefer,2026-06-05,2026-06-08,Echo Global Logistics,800-354-7993
"Salt Lake City, UT","Los Angeles, CA",1395,3571,2.56,209,25,35797,Reefer,2026-05-30,2026-06-02,Echo Global Logistics,800-354-7993
"Springfield, IL","New Orleans, LA",1385,2506,1.81,2,20,32149,Reefer,2026-05-24,2026-05-26,C.H. Robinson,800-323-7587
"New York, NY","Dallas, TX",2431,3840,1.58,24,141,44212,Flatbed,2026-05-30,2026-06-04,Landstar,800-872-9400
"Fresno, CA","Springfield, IL",2037,6009,2.95,215,15,32815,Flatbed,2026-06-07,2026-06-08,RXO,800-866-0190
"Cleveland, OH","Denver, CO",547,1055,1.93,148,69,31999,Flatbed,2026-06-06,2026-06-11,Uber Freight,844-822-8237
"Austin, TX","Irving, TX",370,839,2.27,197,40,25453,Flatbed,2026-06-01,2026-06-04,C.H. Robinson,800-323-7587
"New Orleans, LA","Rochester, NY",383,766,2.0,56,76,39302,Dry Van,2026-06-01,2026-06-05,RXO,800-866-0190
"Rochester, NY","Phoenix, AZ",555,1093,1.97,70,19,34883,Reefer,2026-06-15,2026-06-19,Schneider,800-558-6767
"Philadelphia, PA","Fargo, ND",1564,5145,3.29,34,34,24465,Step Deck,2026-05-24,2026-05-25,Schneider,800-558-6767
"Charlotte, NC","Austin, TX",1665,6177,3.71,44,7,34697,Dry Van,2026-05-28,2026-05-31,RXO,800-866-0190
"Rochester, NY","Springfield, IL",2342,8384,3.58,36,3,12814,Dry Van,2026-06-13,2026-06-15,C.H. Robinson,800-323-7587
"Oklahoma City, OK","Fargo, ND",2338,4886,2.09,191,15,38816,Reefer,2026-06-04,2026-06-05,Landstar,800-872-9400
"Houston, TX","Jacksonville, FL",1544,3118,2.02,206,97,15762,Flatbed,2026-06-01,2026-06-05,TQL,800-580-3101
"Philadelphia, PA","Salt Lake City, UT",2148,7066,3.29,56,11,33749,Dry Van,2026-06-05,2026-06-10,TQL,800-580-3101
"Los Angeles, CA","Knoxville, TN",1815,3829,2.11,146,84,46773,Step Deck,2026-05-25,2026-05-27,XPO Logistics,800-755-2728
"Raleigh, NC","Pittsburgh, PA",1406,3599,2.56,153,134,43932,Reefer,2026-05-25,2026-05-30,Schneider,800-558-6767
"Boise, ID","Knoxville, TN",600,2118,3.53,122,80,18166,Reefer,2026-06-19,2026-06-19,XPO Logistics,800-755-2728
"Charlotte, NC","Buffalo, NY",1393,2187,1.57,200,32,45058,Reefer,2026-06-09,2026-06-14,Coyote Logistics,877-626-9683
"Raleigh, NC","Detroit, MI",247,785,3.18,0,158,31875,Step Deck,2026-06-10,2026-06-13,TQL,800-580-3101
"San Diego, CA","Spokane, WA",1609,4135,2.57,14,59,39365,Step Deck,2026-06-09,2026-06-13,Uber Freight,844-822-8237
"Fresno, CA","Nashville, TN",811,2400,2.96,217,1,31762,Step Deck,2026-05-30,2026-06-01,RXO,800-866-0190
"San Antonio, TX","New York, NY",327,778,2.38,50,20,32076,Reefer,2026-05-22,2026-05-23,Schneider,800-558-6767
"Raleigh, NC","New Orleans, LA",2579,8072,3.13,22,49,8177,Step Deck,2026-06-13,2026-06-17,Coyote Logistics,877-626-9683
"Detroit, MI","Arlington, TX",386,999,2.59,61,84,38386,Dry Van,2026-06-05,2026-06-10,JB Hunt,800-452-4868
"Seattle, WA","Rochester, NY",1614,5632,3.49,130,12,36013,Step Deck,2026-05-20,2026-05-21,TQL,800-580-3101
"Columbus, OH","Grand Rapids, MI",1313,2586,1.97,37,121,27711,Dry Van,2026-06-05,2026-06-06,Schneider,800-558-6767
"Jacksonville, FL","Atlanta, GA",1804,6133,3.4,57,144,8093,Dry Van,2026-05-21,2026-05-25,RXO,800-866-0190
"San Diego, CA","Fargo, ND",941,1844,1.96,65,10,45633,Reefer,2026-06-05,2026-06-06,JB Hunt,800-452-4868
"Irving, TX","Columbus, OH",2089,7102,3.4,146,36,17716,Dry Van,2026-06-11,2026-06-16,Schneider,800-558-6767
"Tucson, AZ","Jacksonville, FL",1966,4738,2.41,25,10,10214,Flatbed,2026-06-02,2026-06-04,XPO Logistics,800-755-2728
"Austin, TX","Plano, TX",982,3289,3.35,211,84,41730,Dry Van,2026-06-11,2026-06-12,JB Hunt,800-452-4868
"Detroit, MI","Charlotte, NC",2310,8570,3.71,167,112,17026,Dry Van,2026-05-27,2026-05-29,Schneider,800-558-6767
"Columbus, OH","Tacoma, WA",2371,6567,2.77,10,37,36491,Reefer,2026-06-03,2026-06-05,Schneider,800-558-6767
"Salt Lake City, UT","Birmingham, AL",234,746,3.19,143,54,35698,Reefer,2026-05-21,2026-05-22,Echo Global Logistics,800-354-7993
"Grand Rapids, MI","San Antonio, TX",1745,4624,2.65,56,45,18136,Step Deck,2026-06-15,2026-06-16,JB Hunt,800-452-4868
"Tucson, AZ","Arlington, TX",1464,3660,2.5,155,54,15924,Step Deck,2026-06-07,2026-06-11,JB Hunt,800-452-4868
"Indianapolis, IN","Tulsa, OK",2416,8552,3.54,46,15,9670,Reefer,2026-06-08,2026-06-13,TQL,800-580-3101
"Grand Rapids, MI","Indianapolis, IN",2521,4613,1.83,61,63,11951,Reefer,2026-06-12,2026-06-16,Schneider,800-558-6767
"Oklahoma City, OK","Columbus, OH",1127,3696,3.28,82,48,17210,Flatbed,2026-06-09,2026-06-14,Echo Global Logistics,800-354-7993
"Plano, TX","Indianapolis, IN",2432,4936,2.03,61,116,17901,Flatbed,2026-06-06,2026-06-07,JB Hunt,800-452-4868
"Salt Lake City, UT","Sacramento, CA",723,1756,2.43,140,82,14484,Flatbed,2026-06-04,2026-06-09,TQL,800-580-3101
"San Jose, CA","Phoenix, AZ",1231,4468,3.63,11,62,38228,Flatbed,2026-06-10,2026-06-13,RXO,800-866-0190
"Fort Wayne, IN","Boise, ID",2088,3800,1.82,44,83,30448,Step Deck,2026-06-08,2026-06-11,RXO,800-866-0190
"Reno, NV","Miami, FL",801,2130,2.66,208,34,10622,Reefer,2026-06-15,2026-06-19,XPO Logistics,800-755-2728
"Salt Lake City, UT","Fargo, ND",1685,5240,3.11,141,85,13096,Flatbed,2026-06-10,2026-06-13,Schneider,800-558-6767
"Detroit, MI","Columbus, OH",796,1830,2.3,110,142,46747,Step Deck,2026-06-07,2026-06-12,JB Hunt,800-452-4868
"New Orleans, LA","Los Angeles, CA",2571,4499,1.75,95,54,46677,Dry Van,2026-05-25,2026-05-30,Landstar,800-872-9400
"Cincinnati, OH","Spokane, WA",2185,7560,3.46,171,166,16199,Dry Van,2026-05-23,2026-05-28,C.H. Robinson,800-323-7587
"Tampa, FL","Las Vegas, NV",1438,3005,2.09,210,11,43142,Step Deck,2026-06-13,2026-06-17,Echo Global Logistics,800-354-7993
"Dallas, TX","Los Angeles, CA",935,2739,2.93,39,70,13425,Dry Van,2026-06-05,2026-06-06,Coyote Logistics,877-626-9683
"Denver, CO","Dallas, TX",806,2401,2.98,178,122,38832,Reefer,2026-06-05,2026-06-07,TQL,800-580-3101
"Fresno, CA","Miami, FL",631,1413,2.24,89,38,25707,Reefer,2026-05-22,2026-05-27,Landstar,800-872-9400
"Atlanta, GA","Irving, TX",894,1403,1.57,153,10,45488,Step Deck,2026-05-20,2026-05-24,XPO Logistics,800-755-2728
"San Antonio, TX","Orlando, FL",2483,7746,3.12,10,125,16954,Reefer,2026-06-14,2026-06-15,C.H. Robinson,800-323-7587
"Charlotte, NC","Atlanta, GA",2502,6530,2.61,21,40,33273,Flatbed,2026-05-29,2026-05-31,TQL,800-580-3101
"San Diego, CA","Nashville, TN",463,926,2.0,136,104,44929,Step Deck,2026-06-13,2026-06-18,Coyote Logistics,877-626-9683
"Spokane, WA","Salt Lake City, UT",2363,4820,2.04,74,141,9536,Reefer,2026-05-22,2026-05-27,Echo Global Logistics,800-354-7993
"Memphis, TN","Knoxville, TN",2383,8054,3.38,144,47,26471,Step Deck,2026-06-05,2026-06-08,C.H. Robinson,800-323-7587
"Plano, TX","Tacoma, WA",1174,2077,1.77,155,39,15823,Flatbed,2026-06-07,2026-06-11,Landstar,800-872-9400
"Fort Worth, TX","Reno, NV",1646,3423,2.08,205,166,38934,Flatbed,2026-06-05,2026-06-07,Landstar,800-872-9400
"Pittsburgh, PA","Oklahoma City, OK",2306,7310,3.17,128,6,34935,Dry Van,2026-05-20,2026-05-23,RXO,800-866-0190
"Greensboro, NC","Orlando, FL",1450,4451,3.07,104,52,40225,Dry Van,2026-06-02,2026-06-06,Landstar,800-872-9400
"Orlando, FL","San Jose, CA",2043,7109,3.48,38,166,18386,Reefer,2026-05-26,2026-05-28,Uber Freight,844-822-8237
"Cleveland, OH","Fargo, ND",1225,3234,2.64,19,69,9444,Step Deck,2026-05-22,2026-05-27,C.H. Robinson,800-323-7587
"Savannah, GA","Boise, ID",1811,5849,3.23,136,58,26919,Flatbed,2026-05-19,2026-05-21,Schneider,800-558-6767
"Lubbock, TX","St Louis, MO",1030,2554,2.48,85,83,9563,Reefer,2026-05-25,2026-05-28,RXO,800-866-0190
"Indianapolis, IN","Greensboro, NC",472,1666,3.53,109,78,13674,Reefer,2026-06-15,2026-06-19,JB Hunt,800-452-4868
"Fort Lauderdale, FL","Charlotte, NC",400,1136,2.84,156,114,35834,Reefer,2026-06-14,2026-06-18,C.H. Robinson,800-323-7587
"Phoenix, AZ","St Louis, MO",844,1730,2.05,43,132,18202,Dry Van,2026-06-06,2026-06-10,Landstar,800-872-9400
"Columbus, OH","San Jose, CA",2010,7497,3.73,66,121,28270,Dry Van,2026-06-05,2026-06-10,TQL,800-580-3101
"Kansas City, MO","Memphis, TN",2374,6196,2.61,0,135,34661,Dry Van,2026-06-05,2026-06-07,Coyote Logistics,877-626-9683
"Grand Rapids, MI","Fort Wayne, IN",492,1348,2.74,217,80,27075,Dry Van,2026-06-05,2026-06-06,Schneider,800-558-6767
"Indianapolis, IN","Fargo, ND",2290,5725,2.5,29,145,17258,Reefer,2026-05-20,2026-05-24,Schneider,800-558-6767
"Pittsburgh, PA","Grand Rapids, MI",1793,3872,2.16,155,132,21481,Flatbed,2026-06-05,2026-06-07,Coyote Logistics,877-626-9683
"Nashville, TN","Boise, ID",2448,8004,3.27,141,135,37588,Step Deck,2026-05-27,2026-05-28,TQL,800-580-3101
"Los Angeles, CA","Oklahoma City, OK",2336,6961,2.98,18,118,35102,Dry Van,2026-05-27,2026-05-29,Coyote Logistics,877-626-9683
"San Antonio, TX","Rochester, NY",372,982,2.64,104,87,47385,Reefer,2026-05-31,2026-06-04,JB Hunt,800-452-4868
"Little Rock, AR","Tulsa, OK",384,1251,3.26,101,168,40893,Step Deck,2026-06-01,2026-06-05,XPO Logistics,800-755-2728
"Phoenix, AZ","New York, NY",1212,2727,2.25,109,128,31205,Dry Van,2026-06-08,2026-06-09,JB Hunt,800-452-4868
"Nashville, TN","Denver, CO",650,2203,3.39,95,50,41376,Reefer,2026-05-27,2026-05-29,Schneider,800-558-6767
"Sacramento, CA","Denver, CO",381,1173,3.08,182,3,30761,Dry Van,2026-06-19,2026-06-19,JB Hunt,800-452-4868
"Las Vegas, NV","Buffalo, NY",734,2194,2.99,217,35,16868,Dry Van,2026-05-27,2026-05-28,Uber Freight,844-822-8237
"Memphis, TN","Atlanta, GA",1901,6957,3.66,62,92,29761,Dry Van,2026-06-03,2026-06-08,Landstar,800-872-9400
"Raleigh, NC","Lubbock, TX",1304,3325,2.55,102,56,38829,Flatbed,2026-06-04,2026-06-08,Coyote Logistics,877-626-9683
"Irving, TX","Plano, TX",214,663,3.1,211,156,45848,Step Deck,2026-05-23,2026-05-24,Uber Freight,844-822-8237
"Little Rock, AR","Rockford, IL",1097,3016,2.75,0,103,9021,Step Deck,2026-06-04,2026-06-07,C.H. Robinson,800-323-7587
"Spokane, WA","Indianapolis, IN",2506,5838,2.33,51,107,36132,Reefer,2026-06-13,2026-06-18,JB Hunt,800-452-4868
"New Orleans, LA","Cincinnati, OH",773,2226,2.88,84,95,42738,Flatbed,2026-05-26,2026-05-28,TQL,800-580-3101
"Rochester, NY","Springfield, IL",2427,5169,2.13,29,111,19220,Reefer,2026-06-19,2026-06-19,Landstar,800-872-9400
"Springfield, IL","Arlington, TX",2068,7134,3.45,187,55,11048,Flatbed,2026-06-14,2026-06-15,JB Hunt,800-452-4868
"Little Rock, AR","Salt Lake City, UT",1070,1979,1.85,122,10,11496,Reefer,2026-06-08,2026-06-11,JB Hunt,800-452-4868
"Fresno, CA","Las Vegas, NV",854,2374,2.78,210,1,13181,Reefer,2026-05-24,2026-05-27,RXO,800-866-0190
"Tampa, FL","Rochester, NY",1772,3668,2.07,158,72,41164,Flatbed,2026-05-22,2026-05-23,XPO Logistics,800-755-2728
"Spokane, WA","Fort Worth, TX",1319,2466,1.87,155,112,47429,Reefer,2026-05-19,2026-05-21,Uber Freight,844-822-8237
"Cincinnati, OH","Memphis, TN",2429,5610,2.31,10,155,11300,Reefer,2026-05-30,2026-06-01,Landstar,800-872-9400
"Sacramento, CA","Columbus, OH",1626,3105,1.91,90,76,47872,Flatbed,2026-05-26,2026-05-30,Landstar,800-872-9400
"Orlando, FL","Pittsburgh, PA",1110,4018,3.62,53,10,19604,Reefer,2026-06-07,2026-06-12,TQL,800-580-3101
"Dallas, TX","Raleigh, NC",551,964,1.75,123,13,42818,Step Deck,2026-05-19,2026-05-24,TQL,800-580-3101
"Columbus, OH","Fort Wayne, IN",1198,2887,2.41,95,108,23140,Flatbed,2026-06-16,2026-06-19,Coyote Logistics,877-626-9683
"Atlanta, GA","Tacoma, WA",2112,5385,2.55,128,48,27545,Reefer,2026-06-13,2026-06-17,XPO Logistics,800-755-2728
"Fort Lauderdale, FL","Fort Worth, TX",1787,4163,2.33,52,170,47740,Flatbed,2026-05-30,2026-06-03,Schneider,800-558-6767
"New Orleans, LA","Atlanta, GA",1966,6920,3.52,23,159,26612,Dry Van,2026-06-05,2026-06-10,Uber Freight,844-822-8237
"Salt Lake City, UT","Pittsburgh, PA",1788,5131,2.87,219,167,14158,Reefer,2026-05-24,2026-05-28,Uber Freight,844-822-8237
"Little Rock, AR","Tucson, AZ",1526,3311,2.17,3,156,42660,Flatbed,2026-05-31,2026-06-01,Coyote Logistics,877-626-9683
"Raleigh, NC","Los Angeles, CA",1006,2333,2.32,110,6,36651,Reefer,2026-06-01,2026-06-06,TQL,800-580-3101
"Fort Worth, TX","Cincinnati, OH",436,1246,2.86,181,32,40208,Dry Van,2026-05-22,2026-05-27,C.H. Robinson,800-323-7587
"New Orleans, LA","Miami, FL",1570,3563,2.27,201,9,35156,Dry Van,2026-06-12,2026-06-17,Schneider,800-558-6767
"Tacoma, WA","Rockford, IL",951,3452,3.63,84,153,13038,Flatbed,2026-06-08,2026-06-12,TQL,800-580-3101
"Cleveland, OH","Cincinnati, OH",316,660,2.09,132,38,46459,Step Deck,2026-06-13,2026-06-15,Coyote Logistics,877-626-9683
"Los Angeles, CA","Orlando, FL",1948,5707,2.93,70,6,31148,Step Deck,2026-06-03,2026-06-07,Schneider,800-558-6767
"Tampa, FL","Greensboro, NC",465,1385,2.98,112,29,36274,Flatbed,2026-06-04,2026-06-06,Coyote Logistics,877-626-9683
"Dallas, TX","Fort Wayne, IN",1138,1900,1.67,202,116,20923,Dry Van,2026-06-19,2026-06-19,JB Hunt,800-452-4868
"Savannah, GA","Houston, TX",509,921,1.81,159,5,10336,Reefer,2026-06-06,2026-06-09,Echo Global Logistics,800-354-7993
"Springfield, IL","Denver, CO",494,1323,2.68,134,5,47677,Step Deck,2026-06-04,2026-06-06,Uber Freight,844-822-8237
"Kansas City, MO","Tucson, AZ",1260,3112,2.47,12,121,33064,Reefer,2026-05-20,2026-05-21,TQL,800-580-3101
"Springfield, IL","Nashville, TN",425,875,2.06,135,143,25446,Flatbed,2026-06-07,2026-06-08,JB Hunt,800-452-4868
"Tampa, FL","Lubbock, TX",1470,4527,3.08,62,36,35857,Reefer,2026-06-12,2026-06-15,C.H. Robinson,800-323-7587
"Atlanta, GA","Sacramento, CA",959,2972,3.1,77,108,30527,Reefer,2026-06-05,2026-06-10,XPO Logistics,800-755-2728
"Arlington, TX","Tucson, AZ",931,3174,3.41,2,147,39384,Reefer,2026-05-20,2026-05-21,Coyote Logistics,877-626-9683
"Amarillo, TX","Grand Rapids, MI",2046,6976,3.41,120,158,38145,Dry Van,2026-06-11,2026-06-15,C.H. Robinson,800-323-7587
"Plano, TX","Arlington, TX",1317,3753,2.85,178,140,33385,Reefer,2026-06-05,2026-06-06,Echo Global Logistics,800-354-7993
"Boise, ID","Rockford, IL",838,1332,1.59,11,35,24640,Dry Van,2026-05-31,2026-06-03,TQL,800-580-3101
"Columbus, OH","Los Angeles, CA",1394,4446,3.19,127,132,40139,Step Deck,2026-06-14,2026-06-18,RXO,800-866-0190
"Buffalo, NY","Reno, NV",1169,1858,1.59,46,96,10097,Dry Van,2026-05-28,2026-06-01,TQL,800-580-3101
"Indianapolis, IN","New Orleans, LA",2071,7434,3.59,74,167,11530,Step Deck,2026-06-19,2026-06-19,Schneider,800-558-6767
"Seattle, WA","Memphis, TN",754,2254,2.99,85,13,15756,Dry Van,2026-06-05,2026-06-06,Schneider,800-558-6767
"Jacksonville, FL","Orlando, FL",2280,5859,2.57,183,19,28431,Dry Van,2026-06-10,2026-06-14,JB Hunt,800-452-4868
"Indianapolis, IN","Houston, TX",951,2044,2.15,12,59,29305,Step Deck,2026-06-08,2026-06-13,C.H. Robinson,800-323-7587
"Tampa, FL","Indianapolis, IN",1939,4091,2.11,128,84,13845,Flatbed,2026-06-13,2026-06-17,XPO Logistics,800-755-2728
"Rockford, IL","Las Vegas, NV",1971,7194,3.65,206,70,28313,Step Deck,2026-05-21,2026-05-26,Echo Global Logistics,800-354-7993
"Plano, TX","Fresno, CA",1852,6815,3.68,185,109,27051,Step Deck,2026-06-01,2026-06-06,Coyote Logistics,877-626-9683
"Amarillo, TX","Little Rock, AR",1751,3064,1.75,141,99,22977,Reefer,2026-06-19,2026-06-19,RXO,800-866-0190
"Little Rock, AR","Miami, FL",209,710,3.4,117,51,46901,Reefer,2026-06-05,2026-06-10,C.H. Robinson,800-323-7587
"Memphis, TN","Kansas City, MO",794,1659,2.09,160,143,19754,Step Deck,2026-06-16,2026-06-18,C.H. Robinson,800-323-7587
"Fresno, CA","Miami, FL",1983,4521,2.28,80,63,14061,Step Deck,2026-06-13,2026-06-15,Landstar,800-872-9400
"Los Angeles, CA","Oklahoma City, OK",1140,2245,1.97,199,21,38336,Flatbed,2026-05-24,2026-05-27,Landstar,800-872-9400
"Phoenix, AZ","Lubbock, TX",470,874,1.86,122,125,13177,Reefer,2026-06-03,2026-06-04,Echo Global Logistics,800-354-7993
"Fargo, ND","Irving, TX",1356,3200,2.36,182,29,12742,Step Deck,2026-06-15,2026-06-16,C.H. Robinson,800-323-7587
"Memphis, TN","Raleigh, NC",2244,7696,3.43,2,3,22589,Reefer,2026-05-20,2026-05-24,Echo Global Logistics,800-354-7993
"New Orleans, LA","Buffalo, NY",839,1451,1.73,15,88,34684,Reefer,2026-05-24,2026-05-26,Echo Global Logistics,800-354-7993
"Tampa, FL","Miami, FL",1903,3406,1.79,94,0,45319,Flatbed,2026-05-20,2026-05-24,Coyote Logistics,877-626-9683
"Detroit, MI","San Antonio, TX",517,1664,3.22,48,108,33315,Dry Van,2026-06-08,2026-06-13,Uber Freight,844-822-8237
"Denver, CO","Buffalo, NY",1366,2267,1.66,93,41,25984,Flatbed,2026-06-04,2026-06-05,C.H. Robinson,800-323-7587
"Savannah, GA","Fort Lauderdale, FL",768,2672,3.48,160,5,40560,Flatbed,2026-06-08,2026-06-13,Echo Global Logistics,800-354-7993
"Las Vegas, NV","Rockford, IL",1791,3492,1.95,173,89,47618,Reefer,2026-05-28,2026-06-02,XPO Logistics,800-755-2728
"St Louis, MO","Spokane, WA",187,508,2.72,211,1,44352,Dry Van,2026-06-15,2026-06-18,JB Hunt,800-452-4868
"Greensboro, NC","Fort Wayne, IN",1148,3375,2.94,219,45,41579,Dry Van,2026-06-13,2026-06-16,TQL,800-580-3101
"Fresno, CA","Austin, TX",219,810,3.7,182,106,42006,Dry Van,2026-06-19,2026-06-19,XPO Logistics,800-755-2728
"Plano, TX","Little Rock, AR",2593,8660,3.34,45,141,10698,Reefer,2026-06-19,2026-06-19,Schneider,800-558-6767
"Little Rock, AR","Cincinnati, OH",2488,8285,3.33,145,131,10715,Dry Van,2026-06-02,2026-06-07,TQL,800-580-3101
"Spokane, WA","Fresno, CA",2100,6216,2.96,70,27,9747,Dry Van,2026-05-29,2026-05-31,JB Hunt,800-452-4868
"Houston, TX","Savannah, GA",1249,2947,2.36,111,109,23273,Step Deck,2026-06-12,2026-06-14,Echo Global Logistics,800-354-7993
"Plano, TX","Tucson, AZ",2169,7808,3.6,199,137,22782,Flatbed,2026-06-13,2026-06-17,Uber Freight,844-822-8237
"Knoxville, TN","Lubbock, TX",780,2558,3.28,93,65,44727,Reefer,2026-06-01,2026-06-06,TQL,800-580-3101
"Cincinnati, OH","Rockford, IL",2248,4833,2.15,10,61,47378,Reefer,2026-05-22,2026-05-25,Schneider,800-558-6767
"Cleveland, OH","Oklahoma City, OK",2455,4247,1.73,204,55,10171,Reefer,2026-06-07,2026-06-12,C.H. Robinson,800-323-7587
"Fort Lauderdale, FL","Little Rock, AR",370,862,2.33,130,47,41007,Reefer,2026-06-09,2026-06-12,RXO,800-866-0190
"Amarillo, TX","Reno, NV",1526,3555,2.33,83,85,44802,Dry Van,2026-06-11,2026-06-15,JB Hunt,800-452-4868
"Spokane, WA","New York, NY",856,2961,3.46,53,38,35031,Dry Van,2026-06-15,2026-06-19,XPO Logistics,800-755-2728
"New York, NY","Irving, TX",1022,1768,1.73,211,140,21237,Reefer,2026-06-04,2026-06-05,C.H. Robinson,800-323-7587
"Orlando, FL","Memphis, TN",937,1564,1.67,52,41,24619,Reefer,2026-05-28,2026-06-02,Coyote Logistics,877-626-9683
"Kansas City, MO","Seattle, WA",612,1756,2.87,76,68,39848,Reefer,2026-05-21,2026-05-22,Landstar,800-872-9400
"Fort Worth, TX","San Diego, CA",1389,4819,3.47,145,134,44509,Dry Van,2026-06-18,2026-06-19,Landstar,800-872-9400
"Fresno, CA","Grand Rapids, MI",1971,3133,1.59,103,58,40486,Dry Van,2026-06-02,2026-06-03,Uber Freight,844-822-8237
"San Jose, CA","Houston, TX",2329,3936,1.69,203,2,33978,Step Deck,2026-06-15,2026-06-19,C.H. Robinson,800-323-7587
"Cincinnati, OH","Raleigh, NC",2145,6306,2.94,92,24,9529,Flatbed,2026-05-20,2026-05-24,Uber Freight,844-822-8237
"Tucson, AZ","Fort Wayne, IN",1632,4210,2.58,39,112,10935,Reefer,2026-05-20,2026-05-24,Echo Global Logistics,800-354-7993
"Tucson, AZ","Chicago, IL",906,2038,2.25,154,103,39611,Step Deck,2026-05-22,2026-05-27,Uber Freight,844-822-8237
"New Orleans, LA","Orlando, FL",637,1146,1.8,126,100,32814,Flatbed,2026-06-12,2026-06-17,TQL,800-580-3101
"Fargo, ND","Phoenix, AZ",2416,6740,2.79,81,94,44337,Dry Van,2026-06-12,2026-06-17,TQL,800-580-3101
"Dallas, TX","Atlanta, GA",2109,5145,2.44,176,99,24640,Step Deck,2026-06-09,2026-06-10,RXO,800-866-0190
"Fort Lauderdale, FL","Arlington, TX",1502,5572,3.71,56,33,41062,Dry Van,2026-06-11,2026-06-14,C.H. Robinson,800-323-7587
"Austin, TX","Nashville, TN",2547,4610,1.81,125,153,23021,Dry Van,2026-06-08,2026-06-09,Echo Global Logistics,800-354-7993
"Plano, TX","Spokane, WA",1321,2179,1.65,93,154,46429,Reefer,2026-05-29,2026-06-02,C.H. Robinson,800-323-7587
"New York, NY","Tulsa, OK",579,1789,3.09,34,106,38041,Dry Van,2026-06-01,2026-06-05,JB Hunt,800-452-4868
"Las Vegas, NV","Knoxville, TN",1378,3210,2.33,32,60,16171,Reefer,2026-06-16,2026-06-19,C.H. Robinson,800-323-7587
"Springfield, IL","Fresno, CA",253,759,3.0,154,43,42548,Step Deck,2026-05-20,2026-05-21,RXO,800-866-0190
"Rockford, IL","Birmingham, AL",604,2023,3.35,71,102,14322,Dry Van,2026-06-01,2026-06-06,Landstar,800-872-9400
"Jacksonville, FL","Tacoma, WA",242,805,3.33,82,84,20783,Step Deck,2026-06-08,2026-06-11,Landstar,800-872-9400
"Dallas, TX","Fort Worth, TX",1522,4687,3.08,22,81,37506,Step Deck,2026-05-27,2026-05-29,Uber Freight,844-822-8237
"Grand Rapids, MI","Detroit, MI",697,1589,2.28,86,95,24046,Reefer,2026-05-23,2026-05-27,XPO Logistics,800-755-2728
